field_name,field_type,description,source,collection_frequency,data_quality_notes,validation_rules,possible_values,clinical_significance,reporting_requirements
trauma_type,character,Specific type of trauma if applicable,Clinical assessment,When trauma case,Detailed trauma classification - only populated for trauma cases,Valid only when type_case is Trauma,Gunshot Blast Burns Fractures etc,Specific trauma epidemiology,Conditional field
disability,factor,Whether patient presents with disability,Clinical observation,Per consultation,Important for accessibility and care planning,Yes/No format,Yes No,Accessibility and care needs assessment,Social indicator
visit_number,factor,Sequential visit number for the patient,System tracking,Per consultation,Used for follow-up analysis and care continuity,Must be numeric,First visit Follow-up etc,Patient care continuity tracking,Care continuity indicator
visit_type,factor,Type of healthcare visit,Clinical classification,Per consultation,Distinguishes consultation types for service planning,Must be valid visit type,New visit Follow-up Emergency etc,Service type classification,Operational planning data
service_type,factor,Level of healthcare service provided,Facility classification,Per consultation,Indicates care complexity and facility capability,Must match facility capabilities,PHC Secondary Tertiary,Healthcare system level indicator,Resource planning data
facilitytype,factor,Standardized facility type classification,Derived from service_type,Computed,Processed from service_type for consistent analysis,Must be valid facility type,PHC Hospital Clinic,Healthcare system structure analysis,Computed classification field
patient_id,character,Anonymous patient identifier,System generated,Per patient,Used for patient-level analysis while maintaining anonymity,Must be unique per patient,System generated codes,Enables longitudinal patient tracking,Privacy-protected identifier
admin1,character,Governorate (first administrative level),Geographic lookup,Static,Joined from organizational unit metadata,Must be valid Syrian governorate,Syrian governorate names,Primary geographic analysis unit,Required for geographic analysis
admin2,character,District (second administrative level),Geographic lookup,Static,More detailed geographic classification,Must be valid district within governorate,Syrian district names,Detailed geographic analysis,Sub-regional analysis unit
longitude,numeric,Facility longitude coordinate,GPS/Survey data,Static,Used for mapping and geographic analysis,Must be valid coordinate for Syria,Decimal degrees,Geographic mapping and spatial analysis,Mapping and spatial analysis
latitude,numeric,Facility latitude coordinate,GPS/Survey data,Static,Used for mapping and geographic analysis,Must be valid coordinate for Syria,Decimal degrees,Geographic mapping and spatial analysis,Mapping and spatial analysis
year,numeric,Year extracted from visit date,Computed from datevisitnew,Computed,Used for temporal analysis and reporting,Must match datevisitnew year,Four-digit year,Temporal trend analysis,Computed temporal field
month,character,Year-month extracted from visit date,Computed from datevisitnew,Computed,Used for monthly trend analysis,Must be YYYY-MM format,YYYY-MM format,Monthly surveillance reporting,Computed temporal field
quarter,yearqtr,Quarter extracted from visit date,Computed from datevisitnew,Computed,Used for quarterly reporting and trend analysis,Must be valid quarter,Q1-Q4 by year,Quarterly trend analysis,Computed temporal field
month2,date,First day of month from visit date,Computed from datevisitnew,Computed,Used for monthly plotting and analysis,Must be first day of month,First day of each month,Monthly trend visualization,Computed plotting field
cholera_case,numeric,Binary indicator for cholera-related conditions,Computed from morbidity,Computed,Critical epidemic disease indicator,Must be 0 or 1,0 1,Cholera outbreak surveillance,Epidemic surveillance indicator
measles_case,numeric,Binary indicator for measles-related conditions,Computed from morbidity,Computed,Critical epidemic disease indicator for vaccine-preventable disease,Must be 0 or 1,0 1,Measles outbreak surveillance,Epidemic surveillance indicator
polio_case,numeric,Binary indicator for acute flaccid paralysis/polio,Computed from morbidity,Computed,Critical for polio eradication surveillance,Must be 0 or 1,0 1,Polio surveillance and eradication,Epidemic surveillance indicator
malnutrition_case,numeric,Binary indicator for malnutrition conditions,Computed from morbidity,Computed,Critical humanitarian health indicator,Must be 0 or 1,0 1,Malnutrition surveillance in crisis,Humanitarian health indicator
program_stage,character,DHIS2 program stage identifier,DHIS2 System,Per consultation,System field for DHIS2 data structure,Must match DHIS2 program configuration,DHIS2 stage codes,System data organization,DHIS2 system field
medical_diagnosis,character,Additional medical diagnosis information,Clinical entry,Per consultation,Supplementary diagnostic information,Free text clinical notes,Medical terminology,Additional clinical context,Optional clinical detail
chief_complaint,character,Patient's primary complaint or symptom,Patient interview,Per consultation,Important for clinical triage and analysis,Free text patient symptoms,Symptom descriptions,Clinical presentation analysis,Clinical assessment data
